Tue Jul 25 19:32:25 2017,51406,33093,6261,52149,8386,38494,37142,15765,1055588352,7030767616,3553951744,3573743616,3024289792
Tue Jul 25 19:32:26 2017,54981,52035,63061,49791,33997,26816,13844,11500,3966763008,5367726080,7039614976,6056706048,3268608000
Tue Jul 25 19:32:26 2017,61536,61158,17404,32732,41296,36189,64346,32245,2708996096,3065380864,4930535424,4959961088,4704632832
Tue Jul 25 19:32:27 2017,32624,23848,14750,22230,33953,198,1693,43253,2560753664,3444768768,4214161408,868286464,4755816448
Tue Jul 25 19:32:28 2017,5125,35792,18366,18999,24403,18253,6634,9642,3889823744,4026662912,4510711808,6278348800,1934032896
Tue Jul 25 19:32:29 2017,29764,53902,11157,55104,54997,25083,55195,27412,3902341120,621281280,5953617920,4509466624,3338731520
Tue Jul 25 19:32:29 2017,56246,5572,45027,13613,3729,41873,34451,50323,3800891392,4867489792,3947495424,5057871872,1486749696
Tue Jul 25 19:32:30 2017,28133,47087,55239,32750,11627,64197,29418,59617,2551513088,5793710080,2394292224,7010385920,1354301440
Tue Jul 25 19:32:31 2017,7507,27099,59558,3247,55046,42804,25335,44825,3408658432,4388421632,4338286592,3367698432,1223557120
Tue Jul 25 19:32:32 2017,48802,64952,23231,3723,15567,33380,57209,62086,3434414080,4841209856,5645467648,1852506112,3281715200
Tue Jul 25 19:32:32 2017,35661,20676,36447,49835,18760,50744,34288,12298,5733613568,2923823104,6240993280,4109303808,2007564288
Tue Jul 25 19:32:33 2017,27206,29256,6796,18684,29570,58417,47751,26985,4048748544,3652845568,488439808,1671561216,2766864384
Tue Jul 25 19:32:34 2017,7889,28379,51010,56533,39852,46017,12831,44760,5408686080,4925685760,3363831808,1694695424,2094333952
Tue Jul 25 19:32:35 2017,23016,19394,58049,11400,36735,-1,63724,24663,7417298944,2889351168,3415539712,7114194944,755302400
Tue Jul 25 19:32:36 2017,1465,40724,59477,23917,13031,61912,-1,35660,2686451712,2317680640,495976448,3957587968,5015076864
Tue Jul 25 19:32:37 2017,48671,48102,2944,14704,55579,3155,5508,51795,3270836224,5501812736,3359440896,4107730944,4996005888
Tue Jul 25 19:32:37 2017,1788,39181,3453,30828,14272,9446,24344,-1,4064280576,2557411328,2961375232,5117181952,5291180032
Tue Jul 25 19:32:38 2017,55474,6703,6170,33107,30194,33781,21822,58032,5042798592,1207697408,7180648448,6743982080,1878851584
Tue Jul 25 19:32:39 2017,39376,52675,-1,4160,20003,52128,43589,43353,2288058368,3935895552,4360896512,5522325504,6786514944
Tue Jul 25 19:32:40 2017,2543,50476,49376,51742,6684,50842,16056,52635,1461387264,5002821632,3065118720,2970157056,2817261568
