Time,Vac1,Vac2,Vac3,Vpv1,Vpv2,Iac1,Iac2,Iac3,Ipv1,Ipv2,Pnow,Etoday,Eall
19:31,6489,2524,4808,5446,1337,2284,4,3796,187449866,31600375,195237994,405167766,285260711
19:31,1772,2799,3517,2096,900,4320,4792,3720,6550240,69079663,270106348,28453463,193165677
19:31,2185,4308,3869,1152,879,3029,3626,4310,306663139,589964,74583125,349823174,279872407
19:31,2351,5404,3019,1545,785,1003,5010,4841,-5097,382003179,358039000,371561177,380564513
19:31,5783,3835,3276,1741,102,4032,5784,1585,293396583,240610273,58511802,316681758,34913421
19:31,253,5682,4969,4581,5340,5100,1162,309,321627908,422197942,245942911,398596363,162238445
19:31,5450,4649,4093,6286,479,3444,190,362,100214438,328800229,239046570,206335446,204831613
19:31,797,2025,1393,4982,4844,372,2418,1895,153840680,274501385,227060809,134051528,401598711
19:31,2306,6144,1522,3225,831,701,74,5331,424012329,276974143,392619628,138379506,78576464
19:31,1338,3012,4141,-1,6011,1818,5018,304,178072470,413171413,189859911,74735992,18102381
19:31,2028,4807,1407,4329,4324,293,5404,5840,41718328,58542705,232213681,377989639,347558318
19:31,2210,-1,4763,2799,141,2352,5555,4507,222863815,169683461,116073001,296225544,1431873
19:31,172,5949,4019,4136,3335,2064,1872,4469,295862829,318596602,177141104,428693769,79994676
19:32,1462,2157,1737,4677,2682,3309,5349,791,102901760,-1338,416216669,263695422,272303482
19:32,1559,1417,3583,1703,171,2927,3122,4776,77518749,89913382,223327219,357078615,78512425
19:32,1565,4055,3641,96,4331,3436,3686,355,316568848,3444462,187295028,123017871,208611994
19:32,5309,6233,5945,5800,5272,5474,4049,4566,315289534,221123591,350706693,83359708,344882916
19:32,1444,5482,167,2899,406,57,3431,6251,428546,111214588,327755138,394235229,261622273
19:32,5075,5339,2553,744,1995,2747,2007,4188,212925542,100911672,185012707,266420422,425966178
19:32,2479,2024,5700,3747,5457,1081,5271,219,365431209,373733368,356537417,334344541,-2744
19:32,64,3668,2494,3627,2244,2113,3553,6408,38511852,63818301,122364572,81866321,151209893
19:32,4448,1206,5430,1405,1736,2101,6151,4782,313749463,3627517,237434086,340960152,358059232
19:32,1587,5826,2735,3194,2595,1493,778,1287,232947211,234299451,245645858,301486639,401886833
19:32,2129,5785,6007,3836,27,1521,50,2610,351549469,66743147,282790056,137542517,145307555
19:32,839,5544,4958,4760,4891,987,810,524,159260402,389782440,212049789,16864361,132620623
19:32,3047,203,6314,372,6478,1001,1871,2865,232183735,183751179,51537627,186533773,106132025
